normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds,canonical_title,canonical_slug,match_status,match_confidence,match_method,match_source,match_source_url,match_fetched_at,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,category_source,category_source_url,category_fetched_at,category_confidence,rating_value,rating_scale,rating_count,rating_source,rating_url,rating_fetched_at,rating_confidence,metadata_sources,notes
007 ein quantum trost,007 Ein Quantum Trost,CBS022009DVDGold,1,1,high,disc-metadata-value,,,ambiguous,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,multiple plausible Wikipedia search results
18 wheels of steel haulin,18 Wheels of Steel Haulin,CBS042008DVD,1,1,high,disc-metadata-value,,,ambiguous,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,multiple plausible Wikipedia search results
18 wheelsof steel haulin,18 Wheelsof Steel Haulin,CBS042008DVD,1,1,high,disc-metadata-value,,,unmatched,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,no confident Wikimedia match
187 ride or die,187 Ride or Die,CBS082005DVD,1,1,high,disc-metadata-value,187 Ride or Die,187-ride-or-die,matched,high,wikimedia,wikipedia-en,https://en.wikipedia.org/wiki/187_Ride_or_Die,2026-03-24T13:09:02+00:00,unknown,,https://en.wikipedia.org/wiki/187_Ride_or_Die,,,,,,,,,,,,,,,,,,
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,CBS072005DVD,1,1,high,disc-metadata-value,,,unmatched,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,no confident Wikimedia match
4 story,4 Story,CBS072009DVD,1,1,high,disc-metadata-value,,,unmatched,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,no confident Wikimedia match
442 fussball manager,442 Fussball Manager,CBS112005DVD,1,1,high,disc-metadata-value,,,unmatched,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,no confident Wikimedia match
a vampyre story,A Vampyre Story,CBS022009DVD,1,1,high,disc-metadata-value,,,ambiguous,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,multiple plausible Wikimedia entities
abdurchdie hecke,Abdurchdie Hecke,CBS082006DVD,1,1,high,disc-metadata-value,,,unmatched,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,no confident Wikimedia match
absolute blue,Absolute Blue,CBS082005DVD,1,1,high,disc-metadata-value,Q122386684,q122386684,matched,high,wikimedia,wikidata,https://www.wikidata.org/wiki/Q122386684,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,
achtung roboter,Achtung Roboter,CBS082005DVD,1,1,high,disc-metadata-value,,,unmatched,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,no confident Wikimedia match
act of war direct action,Act of War Direct Action,CBS032005DVD,2,2,high,disc-metadata-value,Act of War: Direct Action,act-of-war-direct-action,matched,high,wikimedia,wikipedia-en,https://en.wikipedia.org/wiki/Act_of_War%3A_Direct_Action,2026-03-24T13:09:02+00:00,unknown,,https://en.wikipedia.org/wiki/Act_of_War%3A_Direct_Action,,,,,,,,,,,,,,,,,,
act of war high treason,Act of War High Treason,CBS042006DVD,1,1,high,disc-metadata-value,Act of War: High Treason,act-of-war-high-treason,matched,high,wikimedia,wikipedia-en,https://en.wikipedia.org/wiki/Act_of_War%3A_High_Treason,2026-03-24T13:09:02+00:00,unknown,,https://en.wikipedia.org/wiki/Act_of_War%3A_High_Treason,,,,,,,,,,,,,,,,,,
actua soccer 2,Actua Soccer 2,CBS092000,1,1,high,vollversion-fullversion,,,ambiguous,low,wikimedia,,,2026-03-24T13:09:02+00:00,unknown,,,,,,,,,,,,,,,,,,,,multiple plausible Wikimedia entities
