normalized_title,representative_title,canonical_title,canonical_slug,match_status,match_confidence,match_method,override_applied,match_source,match_source_url
007 ein quantum trost,007 Ein Quantum Trost,,,ambiguous,low,wikimedia,false,,
18 wheels of steel haulin,18 Wheels of Steel Haulin,,,ambiguous,low,wikimedia,false,,
18 wheelsof steel haulin,18 Wheelsof Steel Haulin,,,unmatched,low,wikimedia,false,,
187 ride or die,187 Ride or Die,187 Ride or Die,187-ride-or-die,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/187_Ride_or_Die
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,,,unmatched,low,wikimedia,false,,
4 story,4 Story,,,unmatched,low,wikimedia,false,,
442 fussball manager,442 Fussball Manager,,,unmatched,low,wikimedia,false,,
a vampyre story,A Vampyre Story,,,ambiguous,low,wikimedia,false,,
abdurchdie hecke,Abdurchdie Hecke,,,unmatched,low,wikimedia,false,,
absolute blue,Absolute Blue,Q122386684,q122386684,matched,high,wikimedia,false,wikidata,https://www.wikidata.org/wiki/Q122386684
achtung roboter,Achtung Roboter,,,unmatched,low,wikimedia,false,,
act of war direct action,Act of War Direct Action,Act of War: Direct Action,act-of-war-direct-action,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Act_of_War%3A_Direct_Action
act of war high treason,Act of War High Treason,Act of War: High Treason,act-of-war-high-treason,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Act_of_War%3A_High_Treason
actua soccer 2,Actua Soccer 2,,,ambiguous,low,wikimedia,false,,
actua soccer featuring oliver bierhoff,Actua Soccer Featuring Oliver Bierhoff,,,unmatched,low,wikimedia,false,,
adash stadt der magie kapitel11,Adash - Stadt der Magie - Kapitel 11,,,unmatched,low,wikimedia,false,,
adrenalin extreme show,Adrenalin Extreme Show,Adrenalin: Extreme Show,adrenalin-extreme-show,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Adrenalin%3A_Extreme_Show
afrika corps vs,Afrika Corps vs,,,unmatched,low,wikimedia,false,,
agatha christie,Agatha Christie,Agatha Christie (video game series),agatha-christie-video-game-series,matched,high,wikimedia,false,wikipedia-en,https://en.wikipedia.org/wiki/Agatha_Christie_%28video_game_series%29
