normalized_title,representative_title,match_status,match_confidence,failure_reason,search_variants
18 wheelsof steel haulin,18 Wheelsof Steel Haulin,unmatched,low,no confident Wikimedia match,
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,unmatched,low,no confident Wikimedia match,
4 story,4 Story,unmatched,low,no confident Wikimedia match,
442 fussball manager,442 Fussball Manager,unmatched,low,no confident Wikimedia match,
abdurchdie hecke,Abdurchdie Hecke,unmatched,low,no confident Wikimedia match,
achtung roboter,Achtung Roboter,unmatched,low,no confident Wikimedia match,
actua soccer featuring oliver bierhoff,Actua Soccer Featuring Oliver Bierhoff,unmatched,low,no confident Wikimedia match,
adash stadt der magie kapitel11,Adash - Stadt der Magie - Kapitel 11,unmatched,low,no confident Wikimedia match,
afrika corps vs,Afrika Corps vs,unmatched,low,no confident Wikimedia match,
agatha christie das bseunterder sonne,Agatha Christie Das Bseunterder Sonne,unmatched,low,no confident Wikimedia match,
agatha christie mordim orient express,Agatha Christie Mordim Orient Express,unmatched,low,no confident Wikimedia match,
agatha christie unddanngabskeinesmehrv,Agatha Christie Unddanngabskeinesmehrv,unmatched,low,no confident Wikimedia match,
ageof empires ageof discoveryv,Ageof Empires Ageof Discoveryv,unmatched,low,no confident Wikimedia match,
ageof empires the war chiefs,Ageof Empires The War Chiefs,unmatched,low,no confident Wikimedia match,
ageof empiresv,Ageof Empiresv,unmatched,low,no confident Wikimedia match,
ages of empires 3,Ages of Empires 3,unmatched,low,no confident Wikimedia match,
agon the lost swordof toledo,Agon The Lost Swordof Toledo,unmatched,low,no confident Wikimedia match,
air strike 3d 2,Air Strike 3 D 2,unmatched,low,no confident Wikimedia match,
airlines tycoon deluxe,Airlines Tycoon Deluxe,unmatched,low,no confident Wikimedia match,
al emmoandthe lost dutchmans mine,Al Emmoandthe Lost Dutchmans Mine,unmatched,low,no confident Wikimedia match,
alarmfr cobra nitro,Alarmfr Cobra Nitro,unmatched,low,no confident Wikimedia match,
alarmfr cobra11 crash timev111,Alarmfr Cobra11 Crash Timev111,unmatched,low,no confident Wikimedia match,
alexander die stunde der helden,Alexander Die Stunde der Helden,unmatched,low,no confident Wikimedia match,
alexander die stundeder helden,Alexander Die Stundeder Helden,unmatched,low,no confident Wikimedia match,
all star strip poker,All Star Strip Poker,unmatched,low,no confident Wikimedia match,
alone in the dark komplettl sung,Alone in the Dark Komplettlösung,unmatched,low,no confident Wikimedia match,
aloneinthe dark,Aloneinthe Dark,unmatched,low,no confident Wikimedia match,
aloneinthe dark komplettlsung,Aloneinthe Dark Komplettlsung,unmatched,low,no confident Wikimedia match,
alternate flip,Alternate Flip,unmatched,low,no confident Wikimedia match,
andersens maedchen,Andersens Maedchen,unmatched,low,no confident Wikimedia match,
angel knig spinnfischenin deutschland,Angel Knig Spinnfischenin Deutschland,unmatched,low,no confident Wikimedia match,
angriff auf die westfront,Angriff auf die Westfront,unmatched,low,no confident Wikimedia match,
ankh herzdes osiris,Ankh Herzdes Osiris,unmatched,low,no confident Wikimedia match,
ankh kampfder gtter,Ankh Kampfder Gtter,unmatched,low,no confident Wikimedia match,
ansto,Ansto Edition,unmatched,low,no confident Wikimedia match,
anstov,Anstov,unmatched,low,no confident Wikimedia match,
anstov zwei,Anstov Zwei,unmatched,low,no confident Wikimedia match,
anti twin,Anti Twin,unmatched,low,no confident Wikimedia match,
antira mexiko,"Antira, Mexiko",unmatched,low,no confident Wikimedia match,
armiesof exigo,Armiesof Exigo,unmatched,low,no confident Wikimedia match,
armor digit,armor digit,unmatched,low,no confident Wikimedia match,
armour of god 2,Armour of God 2,unmatched,low,no confident Wikimedia match,
armourof god2,Armourof God2,unmatched,low,no confident Wikimedia match,
ashampoo power up xpplatinum2,Ashampoo Power Up XPPlatinum2,unmatched,low,no confident Wikimedia match,
ashampoo win optimizer 4,Ashampoo Win Optimizer 4,unmatched,low,no confident Wikimedia match,
ashampoo win optimizer4,Ashampoo Win Optimizer4,unmatched,low,no confident Wikimedia match,
assassins creed spieltricks,Assassins Creed Spieltricks,unmatched,low,no confident Wikimedia match,
athletics,Athletics,unmatched,low,matched a generic sport concept instead of a specific software title,
aura dieheiligen ringe,Aura Dieheiligen Ringe,unmatched,low,no confident Wikimedia match,
aura tor zur ewigkeit,Aura Tor zur Ewigkeit,unmatched,low,no confident Wikimedia match,
aura tor zur ewigkeit v 1,Aura Tor zur Ewigkeit v 1,unmatched,low,no confident Wikimedia match,
auto cross racing,Auto Cross Racing,unmatched,low,no confident Wikimedia match,
autobahnraser 3,Autobahnraser 3,unmatched,low,no confident Wikimedia match,
aw nuts,Aw Nuts,unmatched,low,no confident Wikimedia match,
axe snake peel,Axe Snake Peel,unmatched,low,no confident Wikimedia match,
backgammon xxl,Backgammon XXL,unmatched,low,no confident Wikimedia match,
bagger simulator,Bagger Simulator,unmatched,low,no confident Wikimedia match,
baldur s gate compilation,Baldur's Gate - Compilation,unmatched,low,no confident Wikimedia match,
baldurs gate legendender schwertkste,Baldurs Gate Legendender Schwertkste,unmatched,low,no confident Wikimedia match,
baphotmets fluch der engeldes todes,Baphotmets Fluch Der Engeldes Todes,unmatched,low,no confident Wikimedia match,
battle lord,Battle Lord,unmatched,low,no confident Wikimedia match,
battlefield toolkit,Battlefield Toolkit,unmatched,low,no confident Wikimedia match,
battlefield2142v150,Battlefield2142v150,unmatched,low,no confident Wikimedia match,
battlefieldv,Battlefieldv,unmatched,low,no confident Wikimedia match,
beach king stunt raser,Beach King Stunt Raser,unmatched,low,no confident Wikimedia match,
big pizza ski challenge09 deutschland,Big Pizza Ski Challenge 09 Deutschland Edition,unmatched,low,no confident Wikimedia match,
bike flyter,Bike Flyter,unmatched,low,no confident Wikimedia match,
bit defender free10,Bit Defender Free10,unmatched,low,no confident Wikimedia match,
black mirror derdunkle spiegelder seele,Black Mirror Derdunkle Spiegelder Seele,unmatched,low,no confident Wikimedia match,
blazing angels squadrons of wwv,Blazing Angels Squadrons Of WWv,unmatched,low,no confident Wikimedia match,
blazing angels squadronsof ww,Blazing Angels Squadronsof WW,unmatched,low,no confident Wikimedia match,
blazing angels squadronsof wwv,Blazing Angels Squadronsof WWv,unmatched,low,no confident Wikimedia match,
blitzkrieg rolling thunder,Blitzkrieg Rolling Thunder,unmatched,low,no confident Wikimedia match,
blitzkriegv,Blitzkriegv,unmatched,low,no confident Wikimedia match,
boiling point roadto hell,Boiling Point Roadto Hell,unmatched,low,no confident Wikimedia match,
bookof unwritten tales,Bookof Unwritten Tales,unmatched,low,no confident Wikimedia match,
bounci x dream,Bounci x Dream,unmatched,low,no confident Wikimedia match,
brothersin arms earnedin bloodv,Brothersin Arms Earnedin Bloodv,unmatched,low,no confident Wikimedia match,
bruno das spiel,Bruno Das Spiel,unmatched,low,no confident Wikimedia match,
burn in test xpvista version,Burn In Test XPVista Version,unmatched,low,no confident Wikimedia match,
callof duty4 modern warfarev16,Callof Duty4 Modern Warfarev16,unmatched,low,no confident Wikimedia match,
callof dutyv,Callof Dutyv,unmatched,low,no confident Wikimedia match,
camera lock ax,camera lock ax,unmatched,low,no confident Wikimedia match,
captain delta und die quelle von argos,Captain Delta und die Quelle von Argos,unmatched,low,no confident Wikimedia match,
captain deltaunddie quellevon argos,Captain Deltaunddie Quellevon Argos,unmatched,low,no confident Wikimedia match,
cars autoswiewir,Cars Autoswiewir,unmatched,low,no confident Wikimedia match,
castrol honda super bike,Castrol Honda Super Bike,unmatched,low,no confident Wikimedia match,
cbsspezial,CBSSpezial,unmatched,low,no confident Wikimedia match,
chk alternate flip,Chk Alternate flip,unmatched,low,no confident Wikimedia match,
chk linseneffekte,Chk Linseneffekte,unmatched,low,no confident Wikimedia match,
chk partikel,Chk Partikel,unmatched,low,no confident Wikimedia match,
chk pixelzentrierung,Chk Pixelzentrierung,unmatched,low,no confident Wikimedia match,
chk schatten,Chk Schatten,unmatched,low,no confident Wikimedia match,
chk texturen,Chk Texturen,unmatched,low,no confident Wikimedia match,
chk tooltips,Chk Tooltips,unmatched,low,no confident Wikimedia match,
christmas bound,Christmas Bound,unmatched,low,no confident Wikimedia match,
cities online,cities online,unmatched,low,no confident Wikimedia match,
civilization4 beyondthe swordv317,Civilization4 Beyondthe Swordv317,unmatched,low,no confident Wikimedia match,
civilizationv,Civilizationv,unmatched,low,no confident Wikimedia match,
click clack xl,Click Clack XL,unmatched,low,no confident Wikimedia match,
code aktionen,Code Aktionen,unmatched,low,no confident Wikimedia match,
codeaktionen,Codeaktionen,unmatched,low,no confident Wikimedia match,
codename panzers phase2v108,Codename Panzers Phase2v108,unmatched,low,no confident Wikimedia match,
cold zero the last stand,Cold Zero The Last Stand,unmatched,low,no confident Wikimedia match,
combat wings battleof britain,Combat Wings Battleof Britain,unmatched,low,no confident Wikimedia match,
command conquer dieersten jahrev,Command Conquer Dieersten Jahrev,unmatched,low,no confident Wikimedia match,
commandand conquer,Commandand Conquer,unmatched,low,no confident Wikimedia match,
companyof heroes,Companyof Heroes,unmatched,low,no confident Wikimedia match,
companyof heroesv,Companyof Heroesv,unmatched,low,no confident Wikimedia match,
coogles,Coogles,unmatched,low,no confident Wikimedia match,
cossacks battlefor europe,Cossacks Battlefor Europe,unmatched,low,no confident Wikimedia match,
cossacks battlefor europev,Cossacks Battlefor Europev,unmatched,low,no confident Wikimedia match,
cpucool,CPUCool,unmatched,low,no confident Wikimedia match,
crazy kickers xs,Crazy Kickers XS,unmatched,low,no confident Wikimedia match,
crazy symbol sudoku,Crazy Symbol Sudoku,unmatched,low,no confident Wikimedia match,
crysis mod sdk 1,Crysis Mod SDK 1,unmatched,low,no confident Wikimedia match,
crysis mod sdk10,Crysis Mod SDK10,unmatched,low,no confident Wikimedia match,
crysis mod sdk12,Crysis Mod SDK12,unmatched,low,no confident Wikimedia match,
crysisv11,Crysisv11,unmatched,low,no confident Wikimedia match,
csi eindeutige beweise,CSI Eindeutige Beweise,unmatched,low,no confident Wikimedia match,
csicrime scene investigation mordin dimensionen,CSICrime Scene Investigation Mordin Dimensionen,unmatched,low,no confident Wikimedia match,
csieindeutige beweise,CSIEindeutige Beweise,unmatched,low,no confident Wikimedia match,
cycek nad new,CYCEK NAD NEW GAME,unmatched,low,no confident Wikimedia match,
dame xxl,Dame XXL,unmatched,low,no confident Wikimedia match,
dark quiz,Dark Quiz,unmatched,low,no confident Wikimedia match,
darkstar onev,Darkstar Onev,unmatched,low,no confident Wikimedia match,
das ausbildungscamp,Das Ausbildungscamp,unmatched,low,no confident Wikimedia match,
das chinesische viertel,Das chinesische Viertel,unmatched,low,no confident Wikimedia match,
das geheimlabor,Das Geheimlabor,unmatched,low,request failed for https://en.wikipedia.org/w/api.php?action=query&list=search&srsearch=Das+Geheimlabor&srlimit=5&format=json: HTTP Error 429: Too Many Requests,
das hafenviertel,Das Hafenviertel,unmatched,low,no confident Wikimedia match,
das verm chtnis testament of sin,Das Vermächtnis - Testament of Sin,unmatched,low,no confident Wikimedia match,
deador alive,Deador Alive,unmatched,low,no confident Wikimedia match,
der fluch der zwerge 1,Der Fluch der Zwerge 1,unmatched,low,no confident Wikimedia match,
der fluch des goldes xs,Der Fluch des Goldes XS,unmatched,low,no confident Wikimedia match,
der herrder ringe die schlachtum mittelerde,Der Herrder Ringe Die Schlachtum Mittelerde,unmatched,low,no confident Wikimedia match,
