normalized_title,representative_title,match_status,match_confidence,failure_reason,candidate_1_title,candidate_1_url,candidate_2_title,candidate_2_url,candidate_3_title,candidate_3_url
007 ein quantum trost,007 Ein Quantum Trost,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
18 wheels of steel haulin,18 Wheels of Steel Haulin,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
a vampyre story,A Vampyre Story,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
ablaze,Ablaze,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
actua soccer 2,Actua Soccer 2,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
age of conan,Age of Conan,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
age of mythology,Age of Mythology,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
agon the lost sword of toledo,Agon The Lost Sword of Toledo,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
air conflicts,Air Conflicts,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
alan wake,Alan Wake,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
alexander,Alexander,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
alien arena,Alien Arena,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
alien shooter,Alien Shooter,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
alien shooter 2,Alien Shooter 2,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
aliens pinball,Aliens Pinball,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
america,America,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
american conquest fight back,American Conquest Fight Back,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
anno1701 der fluch des drachen add on,Anno 1701 Der Fluch des Drachen (Add On Demo),ambiguous,low,multiple plausible Wikipedia search results,,,,,,
annov,Annov,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
anstoss,Anstoss Edition,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
arena wars,Arena Wars,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
arena wars reloaded,Arena Wars Reloaded,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
arena wars v 1 1,Arena Wars v 1 1,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
armed assault,Armed Assault,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
armored core,Armored Core,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
armyof two,Armyof Two,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
ashampoo firewall,Ashampoo Firewall,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
ashampoo magical,Ashampoo Magical,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
assassins creed,Assassins Creed,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
assault heroes,Assault Heroes,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
asterix obelix xxl 2,Asterix Obelix XXL 2,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
atlantis evolution,Atlantis Evolution,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
