game_id,normalized_title,representative_title,match_status,match_confidence,failure_reason,candidate_1_title,candidate_1_url,candidate_2_title,candidate_2_url,candidate_3_title,candidate_3_url
007einquantumtrost,007 ein quantum trost,007 Ein Quantum Trost,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
18wheelsofsteelhaulin,18 wheels of steel haulin,18 Wheels of Steel Haulin,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
avampyrestory,a vampyre story,A Vampyre Story,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
ablaze,ablaze,Ablaze,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
actuasoccer2,actua soccer 2,Actua Soccer 2,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
ageofconan,age of conan,Age of Conan,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
ageofmythology,age of mythology,Age of Mythology,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
agonthelostswordoftoledo,agon the lost sword of toledo,Agon The Lost Sword of Toledo,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
airconflicts,air conflicts,Air Conflicts,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
alanwake,alan wake,Alan Wake,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
alexander,alexander,Alexander,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
alienarena,alien arena,Alien Arena,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
alienshooter,alien shooter,Alien Shooter,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
alienshooter2,alien shooter 2,Alien Shooter 2,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
alienspinball,aliens pinball,Aliens Pinball,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
america,america,America,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
americanconquestfightback,american conquest fight back,American Conquest Fight Back,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
anno,anno,Anno,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
anno1701derfluchdesdrachen,anno 1701 der fluch des drachen,Anno 1701 Der Fluch des Drachen,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
anstoss,anstoss,Anstoss,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
anstossedition,anstoss edition,Anstoss Edition,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
arenawars,arena wars,Arena Wars,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
arenawarsreloaded,arena wars reloaded,Arena Wars Reloaded,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
armedassault,armed assault,Armed Assault,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
armoredcore,armored core,Armored Core,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
armyoftwo,armyof two,Armyof Two,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
assassinscreed,assassins creed,Assassins Creed,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
assaultheroes,assault heroes,Assault Heroes,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
asterixobelixxxl2,asterix obelix xxl 2,Asterix Obelix XXL 2,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
atlantisevolution,atlantis evolution,Atlantis Evolution,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
augustus,augustus,Augustus,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
coldblood,cold blood,Cold Blood,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
coldwarcrisis1,cold war crisis 1,Cold War Crisis 1,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
combatflightsimulator,combat flight simulator,Combat Flight Simulator,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
commandconquertiberiumwars,command conquer tiberium wars,Command Conquer Tiberium Wars,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
commandandconquer,command and conquer,Command and Conquer,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
cossacks2napoleonicwars,cossacks 2 napoleonic wars,Cossacks 2 Napoleonic Wars,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
cossacksbacktowar,cossacks back to war,Cossacks Back to War,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
crazyfrogracerfeattheannoyingthing,crazy frog racer feat the annoying thing,Crazy Frog Racer Feat The Annoying Thing,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
crazymachines,crazy machines,Crazy Machines,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
crysis,crysis,Crysis,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
darkageofcamelot,dark age of camelot,Dark Age of Camelot,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
darkageofcamelotshroudedisles,dark age of camelot shrouded isles,Dark Age of Camelot + Shrouded Isles,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
dasschwarzeaugedrakensang,das schwarze auge drakensang,Das Schwarze Auge - Drakensang,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
dashaesslicheentlein,das haessliche entlein,Das haessliche Entlein,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
deinereitschule,deine reitschule,Deine Reitschule,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
derbauernhof,der bauernhof,Der Bauernhof,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
derbunker,der bunker,Der Bunker,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
diskdefrag,disk defrag,Disk Defrag,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
enigma,enigma,Enigma,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
enigmarisingtide,enigma rising tide,Enigma Rising Tide,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
eternalsilence3,eternal silence 3,Eternal Silence 3,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
europauniversalis,europa universalis,Europa Universalis,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
eveonlinerevelations,eve online revelations,Eve Online Revelations,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
everquest2,everquest 2,Everquest 2,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
everquest2b,everquest 2 b,Everquest 2 B,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
everquestechoesoffaydwer,everquest echoes of faydwer,Everquest Echoes Of Faydwer,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
evilgenius,evil genius,Evil Genius,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
facesofwar,faces of war,Faces of War,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fahrenheit,fahrenheit,Fahrenheit,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fantasticmovie,fantastic movie,Fantastic Movie,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
farcryinstinctspredatortechnologie,far cry instincts predator technologie,Far Cry Instincts Predator Technologie,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
firedepartment,fire department,Fire Department,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
flatout,flat out,Flat Out,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
forsaken,forsaken,Forsaken,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
freeciv,free civ,Free Civ,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
freecommander,free commander,Free Commander,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
freedomforce,freedom force,Freedom Force,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
frenchstreetracing,french street racing,French Street Racing,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fritz,fritz,Fritz,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fullauto,full auto,Full Auto,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fullautobattlelines,full auto battlelines,Full Auto Battlelines,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fullspectrumwarrior,full spectrum warrior,Full Spectrum Warrior,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fussballmanager08,fussball manager 08,Fußball Manager 08,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
fussballmanager09,fussball manager 09,Fußball Manager 09,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
gentleman,gentleman,Gentleman,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
ginggongboxen,ging gong boxen,Ging Gong Boxen,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
godzillafinalwars,godzilla final wars,Godzilla Final Wars,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
hauntedhouse,haunted house,Haunted House,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
highwaypursuit,highway pursuit,Highway Pursuit,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
himmelundhuhn,himmel und huhn,Himmel und Huhn,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
hurrican,hurrican,Hurrican,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
icebreaker,ice breaker,Ice Breaker,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
icewinddale,icewind dale,Icewind Dale,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
icewinddaleherzdeswinters,icewind dale herz des winters,Icewind Dale - Herz des Winters,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
imperiumromanum,imperium romanum,Imperium Romanum,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
in80tagenumdiewelt,in 80 tagen um die welt,In 80 Tagen um die Welt,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
indeo5,indeo 5,Indeo 5,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
ironman,iron man,Iron Man,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
isabellwerthreitsport,isabell werth reitsport,Isabell Werth Reitsport,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
jackkeane,jack keane,Jack Keane,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
jagdfieber,jagdfieber,Jagdfieber,ambiguous,low,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
jaggedalliancewildfire,jagged alliance wildfire,Jagged Alliance Wildfire,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
johnwoosstranglehold,john woos stranglehold,John Woos Stranglehold,ambiguous,low,ambiguous_source_alias; multiple plausible Wikipedia search results; ambiguous_source_alias; demoted_weak_alias_match,,,,,,
