game_id,normalized_title,representative_title,cluster_title,match_status,match_confidence,canonical_title,canonical_slug,alias_match_status,alias_match_confidence,alias_canonical_title,alias_canonical_slug,alias_rejection_notes
007einquantumtrost,007 ein quantum trost,007 Ein Quantum Trost,007 Ein Quantum Trost,ambiguous,low,,,ambiguous,low,,,
187rideordie,187 ride or die,187 Ride or Die,187 Ride or Die,matched,high,187 Ride or Die,187-ride-or-die,matched,high,187 Ride or Die,187-ride-or-die,
18wheelsofsteelhaulin,18 wheels of steel haulin,18 Wheels of Steel Haulin,18 Wheels of Steel Haulin,ambiguous,low,,,ambiguous,low,,,
18wheelsofsteelhaulin,18 wheelsof steel haulin,18 Wheelsof Steel Haulin,18 Wheels of Steel Haulin,ambiguous,low,,,unmatched,low,,,
1944winterschlachtindenardennen,1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,1944 Winterschlacht in den Ardennen,unmatched,low,,,unmatched,low,,,
2ritteraufdersuchenachderhinreissendenherzelinde,2 ritter auf der suche nach der hinrei enden herzelinde,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,unmatched,low,,,unmatched,low,,,
442fussballmanager,442 fussball manager,442 Fussball Manager,442 Fussball Manager,unmatched,low,,,unmatched,low,,,
4story,4 story,4 Story,4 Story,unmatched,low,,,unmatched,low,,,
64bitvier,64 bit vier,64 Bit)vier,64 Bit)vier,unmatched,low,,,unmatched,low,,,
abdurchdiehecke,abdurchdie hecke,Abdurchdie Hecke,Abdurchdie Hecke,unmatched,low,,,unmatched,low,,,
abenteueraufdemreiterhofdasabenteuerrundumspferd,abenteuer auf dem reiterhof das abenteuer rund ums pferd,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,unmatched,low,,,unmatched,low,,,
abenteueraufdemreiterhofdasabenteuerrundumspferd,abenteueraufdem reiterhof das abenteuerrundums pferd,Abenteueraufdem Reiterhof Das Abenteuerrundums Pferd,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,unmatched,low,,,unmatched,low,,,
ablaze,ablaze,Ablaze,Ablaze,ambiguous,low,,,ambiguous,low,,,
absoluteblue,absolute blue,Absolute Blue,Absolute Blue,unmatched,low,,,matched,high,Q122386684,q122386684,
achtungroboter,achtung roboter,Achtung Roboter,Achtung Roboter,unmatched,low,,,unmatched,low,,,
actofwardirectaction,act of war direct action,Act of War Direct Action,Act of War: Direct Action,matched,high,Act of War: Direct Action,act-of-war-direct-action,matched,high,Act of War: Direct Action,act-of-war-direct-action,
actofwarhightreason,act of war high treason,Act of War High Treason,Act of War: High Treason,matched,high,Act of War: High Treason,act-of-war-high-treason,matched,high,Act of War: High Treason,act-of-war-high-treason,
actuasoccer2,actua soccer 2,Actua Soccer 2,Actua Soccer 2,ambiguous,low,,,ambiguous,low,,,
actuasoccerfeaturingoliverbierhoff,actua soccer featuring oliver bierhoff,Actua Soccer Featuring Oliver Bierhoff,Actua Soccer Featuring Oliver Bierhoff,unmatched,low,,,unmatched,low,,,
adashstadtdermagiekapitel11,adash stadt der magie kapitel11,Adash - Stadt der Magie - Kapitel 11,Adash - Stadt der Magie - Kapitel 11,unmatched,low,,,unmatched,low,,,
adrenalinextremeshow,adrenalin extreme show,Adrenalin Extreme Show,Adrenalin: Extreme Show,matched,high,Adrenalin: Extreme Show,adrenalin-extreme-show,matched,high,Adrenalin: Extreme Show,adrenalin-extreme-show,
afrikacorpsvs,afrika corps vs,Afrika Corps vs,Afrika Corps vs,unmatched,low,,,unmatched,low,,,
agamewithakitty,agamewitha kitty,AGamewitha Kitty,A Gamewitha Kitty,unmatched,low,,,unmatched,low,,,
agathachristie,agatha christie,Agatha Christie,Agatha Christie,matched,high,Agatha Christie (video game series),agatha-christie-video-game-series,matched,high,Agatha Christie (video game series),agatha-christie-video-game-series,
agathachristiedasbseunterdersonne,agatha christie das bseunterder sonne,Agatha Christie Das Bseunterder Sonne,Agatha Christie Das Bseunterder Sonne,unmatched,low,,,unmatched,low,,,
agathachristiemordimorientexpress,agatha christie mordim orient express,Agatha Christie Mordim Orient Express,Agatha Christie Mordim Orient Express,unmatched,low,,,unmatched,low,,,
agathachristieunddanngabskeinesmehr,agatha christie unddanngabskeinesmehrv,Agatha Christie Unddanngabskeinesmehrv,Agatha Christie Unddanngabskeinesmehr,unmatched,low,,,unmatched,low,,,
ageofconan,age of conan,Age of Conan,Age of Conan,ambiguous,low,,,ambiguous,low,,,
ageofconanhyborianadventures,ageof conan hyborian adventures,Ageof Conan Hyborian Adventures,Age of Conan Hyborian Adventures,unmatched,low,,,unmatched,low,,,
ageofempires,ageof empiresv,Ageof Empiresv,Age of Empires,unmatched,low,,,unmatched,low,,,
ageofempires3,age of empires 3v 1,Age of Empires 3 v 1,Age Of Empires 3,unmatched,low,,,,,,,
ageofempires3,age of empires 3v 1 01a,Age of Empires 3 v 1 01a,Age Of Empires 3,unmatched,low,,,,,,,
ageofempires3,age of empires 3v 1 1,Age Of Empires 3 v 1 1,Age Of Empires 3,unmatched,low,,,,,,,
ageofempires3theasiandynasties,ageof empires3 the asian dynastiesv101a,Ageof Empires3 The Asian Dynastiesv101a,Age of Empires 3 The Asian Dynasties,unmatched,low,,,,,,,
ageofempires3thewarchiefs,ageof empires3 the warchiefsv104a,Ageof Empires3 The Warchiefsv104a,Age of Empires 3 The Warchiefs,unmatched,low,,,,,,,
ageofempiresageofdiscovery,ageof empires ageof discoveryv,Ageof Empires Ageof Discoveryv,Age of Empires Age of Discovery,unmatched,low,,,unmatched,low,,,
ageofempiresgoldedition,age of empires,Age of Empires Gold Edition,Age of Empires Gold Edition,matched,high,Age of Empires,age-of-empires,matched,high,Age of Empires,age-of-empires,
ageofempiresthewarchiefs,ageof empires the war chiefs,Ageof Empires The War Chiefs,Age of Empires The War Chiefs,unmatched,low,,,unmatched,low,,,
ageofempiresthewarchiefs,ageof empires the warchiefsv,Ageof Empires The Warchiefsv,Age of Empires The War Chiefs,unmatched,low,,,unmatched,low,,,
ageofmythology,age of mythology,Age of Mythology,Age of Mythology,ambiguous,low,,,ambiguous,low,,,
ageofpiratescaribbeantales,age of pirates caribbean tales,Age of Pirates Caribbean Tales,Age of Pirates: Caribbean Tales,matched,high,Age of Pirates: Caribbean Tales,age-of-pirates-caribbean-tales,matched,high,Age of Pirates: Caribbean Tales,age-of-pirates-caribbean-tales,
agesofempires3,ages of empires 3,Ages of Empires 3,Ages of Empires 3,unmatched,low,,,unmatched,low,,,
agonthelostswordoftoledo,agon the lost sword of toledo,Agon The Lost Sword of Toledo,Agon The Lost Sword of Toledo,ambiguous,low,,,ambiguous,low,,,
agonthelostswordoftoledo,agon the lost swordof toledo,Agon The Lost Swordof Toledo,Agon The Lost Sword of Toledo,ambiguous,low,,,unmatched,low,,,
airbusa380excellentedition,airbus a380 excellent,Airbus A380 Excellent Edition,Airbus A380 Excellent Edition,unmatched,low,,,unmatched,low,,,
airconflicts,air conflicts,Air Conflicts,Air Conflicts,ambiguous,low,,,ambiguous,low,,,
airconflictsaddon,air conflicts addon,Air Conflicts Addon,Air Conflicts Addon,unmatched,low,,,unmatched,low,,,
airlinestycoondeluxe,airlines tycoon deluxe,Airlines Tycoon Deluxe,Airlines Tycoon Deluxe,unmatched,low,,,unmatched,low,,,
airstrike3d2,air strike 3d 2,Air Strike 3 D 2,Air Strike 3 D 2,unmatched,low,,,unmatched,low,,,
airtaxi,air taxi,Air Taxi,Air Taxi,unmatched,low,,,matched,high,Q115799507,q115799507,
alanwake,alan wake,Alan Wake,Alan Wake,ambiguous,low,,,ambiguous,low,,,
alarmfrcobra11crashtime,alarmfr cobra11 crash timev111,Alarmfr Cobra11 Crash Timev111,Alarmfr Cobra 11 Crash Time,unmatched,low,,,,,,,
alarmfrcobranitro,alarmfr cobra nitro,Alarmfr Cobra Nitro,Alarmfr Cobra Nitro,unmatched,low,,,unmatched,low,,,
