archive_item,archive_name,issue_code,year,variant,title_strategy,resolution_path,reason,status,root_cause,retry_recommended,suggestion
cbs-2000-09,2007/CBS022007DVD.7z,CBS022007DVD,2007,DVD,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS022007DVD.7z.part https://archive.org/download/cbs-2000-09/2007/CBS022007DVD.7z failed: curl: (56) Recv failure: Connection timed out
curl: (6) Send failure: Broken pipe
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS022007DVDGOLD.7z,CBS022007DVDGOLD,2007,DVDGOLD,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS022007DVDGOLD.7z.part https://archive.org/download/cbs-2000-09/2007/CBS022007DVDGOLD.7z failed: curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS032007DVD.7z,CBS032007DVD,2007,DVD,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS032007DVD.7z.part https://archive.org/download/cbs-2000-09/2007/CBS032007DVD.7z failed: curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org
curl: (6) Could not resolve host: archive.org",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS042007DVD.7z,CBS042007DVD,2007,DVD,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS042007DVD.7z.part https://archive.org/download/cbs-2000-09/2007/CBS042007DVD.7z failed: curl: (22) The requested URL returned error: 503
curl: (35) Recv failure: Connection reset by peer
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS042007DVDGold.7z,CBS042007DVDGold,2007,DVDGold,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS042007DVDGold.7z.part https://archive.org/download/cbs-2000-09/2007/CBS042007DVDGold.7z failed: curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (28) Failed to connect to archive.org port 443 after 133228 ms: Couldn't connect to server
curl: (22) The requested URL returned error: 503",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS052007DVD.7z,CBS052007DVD,2007,DVD,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS052007DVD.7z.part https://archive.org/download/cbs-2000-09/2007/CBS052007DVD.7z failed: curl: (35) Recv failure: Connection reset by peer
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS052007DVDGold.7z,CBS052007DVDGold,2007,DVDGold,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS052007DVDGold.7z.part https://archive.org/download/cbs-2000-09/2007/CBS052007DVDGold.7z failed: curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (35) Recv failure: Connection reset by peer",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS062007DVD.7z,CBS062007DVD,2007,DVD,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS062007DVD.7z.part https://archive.org/download/cbs-2000-09/2007/CBS062007DVD.7z failed: curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS062007DVDGold.7z,CBS062007DVDGold,2007,DVDGold,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS062007DVDGold.7z.part https://archive.org/download/cbs-2000-09/2007/CBS062007DVDGold.7z failed: curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
cbs-2000-09,2007/CBS072007DVD.7z,CBS072007DVD,2007,DVD,auto,none,"curl --http1.1 -L --fail --silent --show-error --retry 5 --retry-all-errors --retry-delay 5 -C - --output /tmp/cbs-vps-linux-full/downloads/CBS072007DVD.7z.part https://archive.org/download/cbs-2000-09/2007/CBS072007DVD.7z failed: curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503
curl: (22) The requested URL returned error: 503",extract_failed,network/download,yes,retry on a stable network or with a rerun focused on unresolved issues
