normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds
007 ein quantum trost,007 Ein Quantum Trost,CBS022009DVDGold,1,1,high,disc-metadata-value
1 2008 germany,Computer Bild Spiele 1 2008 (Germany),CBS012008DVD,2,2,medium,disc-manifest-path
12 filme zu spielen im format,12 Filme zu Spielen im DVD Format,CBS012008DVDSonder,1,1,high,disc-metadata-value
12 filmezu spielenim dvdformat,12 Filmezu Spielenim DVDFormat,CBS012008DVDSonder,1,1,high,disc-metadata-value
13th cent ger,13th Cent GER,CBS092010DVD,1,1,medium,disc-manifest-path
1516 history,1516 History,CBS012005DVD,1,1,medium,disc-manifest-path
18 df93 b7,18 DF93 B7,CBS022007DVDGOLD,1,1,medium,disc-manifest-path
18 wheels of steel haulin,18 Wheels of Steel Haulin,CBS042008DVD,1,1,high,disc-metadata-value
18 wheelsof steel haulin,18 Wheelsof Steel Haulin,CBS042008DVD,1,1,high,disc-metadata-value
187 ride or die,187 Ride or Die,CBS082005DVD,1,1,high,disc-metadata-value
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,CBS072005DVD,1,1,high,disc-metadata-value
2 2007 germany,Computer Bild Spiele 2 2007 (Germany),CBS022007DVD,2,2,medium,disc-manifest-path
2 ritter auf der suche nach der hinrei enden herzelinde,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,CBS032009DVDGold,1,1,high,disc-metadata-value
2007 shot online the field and more,2007 Shot Online The Field and More,CBS092007DVD,1,1,medium,disc-manifest-path
3 2007 germany version,Computer Bild Spiele 3 2007 (Germany) (DVD Version),CBS032007DVD,1,1,medium,disc-manifest-path
3 2009 germany,Computer Bild Spiele 3 2009 (Germany),CBS032009DVD,2,2,medium,disc-manifest-path
3rd party,3rd Party,CBS032009DVDGold,1,1,medium,disc-manifest-path
4 2007 germany,Computer Bild Spiele 4 2007 (Germany),CBS042007DVD,2,2,medium,disc-manifest-path
4 2009 germany,Computer Bild Spiele 4 2009 (Germany),CBS042009DVD,2,2,medium,disc-manifest-path
4 story,4 Story,CBS072009DVD,1,1,high,disc-metadata-value
442 fussball manager,442 Fussball Manager,CBS112005DVD,1,1,high,disc-metadata-value
5 2007 germany,Computer Bild Spiele 5 2007 (Germany),CBS052007DVD,2,2,medium,disc-manifest-path
5 2009 germany,Computer Bild Spiele 5 2009 (Germany),CBS052009DVD,2,2,medium,disc-manifest-path
6 2007 germany,Computer Bild Spiele 6 2007 (Germany) (Gold DVD),CBS062007DVDGold,1,1,medium,disc-manifest-path
6 2007 germany version,Computer Bild Spiele 6 2007 (Germany) (DVD Version),CBS062007DVD,1,1,medium,disc-manifest-path
64 bit vier,64 Bit)vier,CBS092007DVD,1,1,high,disc-metadata-value
7 2007 germany,Computer Bild Spiele 7 2007 (Germany) (Gold DVD),CBS072007DVDGold,1,1,medium,disc-manifest-path
7 2007 germany version,Computer Bild Spiele 7 2007 (Germany) (DVD Version),CBS072007DVD,1,1,medium,disc-manifest-path
7 2008 germany,Computer Bild Spiele 7 2008 (Germany),CBS072008DVD,2,2,medium,disc-manifest-path
