archive_item,archive_name,issue_code,year,variant,normalized_title,representative_title,source_kinds,confidence,content_kind,clean_reason
cbs-2000-09,1999/CBS121999.7z,CBS121999,1999,CD,hell copter,Hell Copter,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS022000.7z,CBS022000,2000,CD,funk flitzer,Funk Flitzer,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS042000.7z,CBS042000,2000,CD,mystery island,Mystery Island,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS062000.7z,CBS062000,2000,CD,king s quest 7,King's Quest 7,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS062000.7z,CBS062000,2000,CD,thunder brigade,Thunder Brigade,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS072000.7z,CBS072000,2000,CD,castrol honda super bike,Castrol Honda Super Bike,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS082000.7z,CBS082000,2000,CD,sini star unleashed,Sini Star Unleashed,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS092000.7z,CBS092000,2000,CD,actua soccer 2,Actua Soccer 2,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS092000.7z,CBS092000,2000,CD,pulleralarm,Pulleralarm,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS092000.7z,CBS092000,2000,CD,vampirjagd,Vampirjagd,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS102000.7z,CBS102000,2000,CD,robo rumble,Robo Rumble,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2000/CBS112000.7z,CBS112000,2000,CD,uprising 2,Uprising 2,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,asghan,Asghan,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,clusterball,Clusterball,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,die siedler hiebe f r diebe,Die Siedler Hiebe für Diebe,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,pulleralarm,Pulleralarm,vollversion-fullversion,high,full_version,vollversion-fullversion
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,vampirjagd,Vampirjagd,vollversion-fullversion,high,full_version,vollversion-fullversion
