game_id,representative_title,content_class,issue_count,occurrence_count,alias_titles,source_kinds
aloneinthedarkkomplettlosung,Alone in the Dark Komplettlösung,guide_media,1,1,Alone in the Dark Komplettlösung,disc-metadata-value
aloneinthedarkkomplettlsung,Aloneinthe Dark Komplettlsung,guide_media,1,1,Aloneinthe Dark Komplettlsung,disc-metadata-value
assassinscreedspieltricks,Assassins Creed Spieltricks,guide_media,1,1,Assassins Creed Spieltricks,disc-metadata-value
battlefieldtoolkit,Battlefield Toolkit,editor_sdk,1,1,Battlefield Toolkit,disc-metadata-value
ccleaner,C Cleaner,utility,2,2,CCleaner; Ccleaner,disc-metadata-value
cheats,Cheats,disc_noise,1,1,Cheats,disc-metadata-value
chktooltips,Chk Tooltips,utility,1,1,Chk Tooltips,disc-metadata-value
cobianbackup,Cobian Backup,utility,1,1,Cobian Backup,disc-metadata-value
codeaktionen,Code Aktionen,disc_noise,2,2,Code Aktionen; Codeaktionen,disc-metadata-value
commandandconquer3tiberiumwarskarteneditor,Command & Conquer 3 Tiberium Wars Karten Editor,editor_sdk,1,1,Command & Conquer 3 Tiberium Wars Karten Editor,disc-metadata-value
commandandconquer3tiberiumwarssdk,Command & Conquer 3 Tiberium Wars SDK,editor_sdk,1,1,Command & Conquer 3 Tiberium Wars SDK v2,disc-metadata-value
commandconquer3tiberiumwarskarteneditor,Command Conquer 3 Tiberium Wars Karten Editor,editor_sdk,1,1,Command Conquer3 Tiberium Wars Karten Editor,disc-metadata-value
commandconquertiberiumwarsworldeditor,Command Conquer Tiberium Wars World Editor,editor_sdk,1,1,Command Conquer Tiberium Wars World Editor,disc-metadata-value
comodobackup,Comodo Backup,utility,1,1,Comodo Backup,disc-metadata-value
crysismodsdk1,Crysis Mod SDK 1,editor_sdk,2,2,Crysis Mod SDK 1,disc-metadata-value
crysismodsdk10,Crysis Mod SDK 10,editor_sdk,1,1,Crysis Mod SDK10,disc-metadata-value
crysismodsdk12,Crysis Mod SDK 12,editor_sdk,1,1,Crysis Mod SDK12,disc-metadata-value
demoshieldlaunch,Demo Shield Launch,disc_noise,5,5,Demo Shield Launch,disc-metadata-value
dhmodtool,DH Modtool,editor_sdk,1,1,DHModtool,disc-metadata-value
diversehintergrnde,Diverse Hintergrnde,guide_media,1,1,Diverse Hintergrnde,disc-metadata-value
divx5,Divx 5,utility,2,2,Divx 5,disc-metadata-value
divx52,Divx 5 2,utility,11,11,Divx 5 2,disc-metadata-value
divx521,Divx 5 2 1,utility,1,1,Divx 5 2 1,disc-metadata-value
divx6,Divx 6,utility,1,1,Divx 6,disc-metadata-value
divx6play,Divx 6 Play,utility,1,1,Divx 6 Play,disc-metadata-value
divx6playxp,Divx 6 Play (XP),utility,6,6,Divx 6 Play (XP),disc-metadata-value
divxme,Divx ME,utility,11,11,Divx ME,disc-metadata-value
divxplayxp,Divx Play XP,utility,8,8,Divx Play XP,disc-metadata-value
dslmanager,DSL Manager,utility,1,1,DSL Manager,disc-metadata-value
easytoolz,Easytoolz,utility,5,5,Easytoolz,disc-metadata-value
easytoolz2,Easytoolz 2,utility,13,13,Easytoolz 2,disc-metadata-value
easytoolz22,Easytoolz 22,utility,13,13,Easytoolz22,disc-metadata-value
filme,Filme,disc_noise,4,4,Filme,disc-metadata-value
fraps,Fraps,utility,3,3,Fraps,disc-metadata-value
fraps29,Fraps 2 9,utility,1,1,Fraps 2 9,disc-metadata-value
gta4komplettloesung,GTA 4 Komplettloesung,guide_media,1,1,GTA4 Komplettloesung,disc-metadata-value
gta4komplettlosung,GTA 4 Komplettlösung,guide_media,1,1,GTA 4 Komplettlösung,disc-metadata-value
jahresinhaltcbs,Jahresinhalt CBS,disc_noise,1,1,Jahresinhalt CBS,disc-metadata-value
kinofilm,Kinofilm,disc_noise,1,1,Kinofilm,disc-metadata-value
kinovorschau,Kinovorschau,disc_noise,1,1,Kinovorschau,disc-metadata-value
loesung,Loesung,disc_noise,2,2,Loesung,disc-metadata-value
mcafeeavertstinger,Mc Afee Avert Stinger,utility,1,1,Mc Afee Avert Stinger,disc-metadata-value
mcafeerootkitdetective,Mc Afee Rootkit Detective,utility,1,1,Mc Afee Rootkit Detective,disc-metadata-value
meinetierklinikinaustralienjoeyscreenmate,Meine Tierklinik in Australien Joey Screenmate,guide_media,1,2,Meine Tierklinik in Australien Joey Screenmate; Meine Tierklinikin Australien Joey Screenmate,disc-metadata-value
netframework,NET Framework,utility,16,16,NETFramework,disc-metadata-value
netframework1,NET Framework 1,utility,2,2,NET Framework 1,disc-metadata-value
netframework2,NET Framework 2,utility,26,26,NET Framework 2,disc-metadata-value
netframework20,NET Framework 20,utility,26,26,NETFramework20,disc-metadata-value
nortoninternetsecurity,Norton Internet Security,utility,1,1,Norton Internet Security,disc-metadata-value
onlinespiel,Online Spiel,disc_noise,6,8,Online Spiel; Onlinespiel,disc-metadata-value
personalbackup,Personal Backup,utility,1,1,Personal Backup,disc-metadata-value
quakesdk,Quake SDK,editor_sdk,1,1,Quake SDK,disc-metadata-value
reservedforstatusbar,reserved for status bar,disc_noise,1,2,reserved for status bar; reserved for statusbar,disc-metadata-value
robertspasswortsafe,Robert's Passwort Safe,utility,1,2,Robert's Passwort Safe; Roberts Passwort Safe,disc-metadata-value
shadowgroundsleveleditor,Shadowgrounds Leveleditor,editor_sdk,1,1,Shadowgrounds Leveleditor,disc-metadata-value
silverfalleditor,Silverfall Editor,editor_sdk,1,1,Silverfall Editor,disc-metadata-value
skype,Skype,utility,6,6,Skype,disc-metadata-value
