archive_item,archive_name,issue_code,year,variant,normalized_title,representative_title,source_kinds,confidence,content_kind,clean_reason,game_id,source_title,source_normalized_title,observed_title_variants,source_normalized_variants,occurrence_count_in_issue,content_class,content_form,content_kinds_merged,content_forms_merged,cleanup_flags,merge_confidence,match_status,match_confidence,canonical_title,canonical_slug,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,match_action,match_notes,data_quality_score
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,asghan,Asghan,vollversion-fullversion,high,full_version,vollversion-fullversion,asghan,Asghan,asghan,Asghan,asghan,1,game,full_version_game,full_version,full_version_game,,high,matched,high,Asghan: The Dragon Slayer,asghan-the-dragon-slayer,game,1998,https://en.wikipedia.org/wiki/Asghan%3A_The_Dragon_Slayer,Q4804283,https://www.wikidata.org/wiki/Q4804283,action; adventure,action-adventure game,,retained_best_alias_match,,92
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,clusterball,Clusterball,vollversion-fullversion,high,full_version,vollversion-fullversion,clusterball,Clusterball,clusterball,Clusterball,clusterball,1,game,full_version_game,full_version,full_version_game,,high,matched,high,Clusterball,clusterball,game,,https://en.wikipedia.org/wiki/Clusterball,Q5136708,https://www.wikidata.org/wiki/Q5136708,other,,,retained_best_alias_match,,88
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,die siedler hiebe fur diebe,Die Siedler Hiebe für Diebe,vollversion-fullversion,high,full_version,vollversion-fullversion,diesiedlerhiebefurdiebe,Die Siedler Hiebe für Diebe,die siedler hiebe f r diebe,Die Siedler Hiebe für Diebe,die siedler hiebe f r diebe,1,game,full_version_game,full_version,full_version_game,,high,unmatched,low,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Die+Siedler+Hiebe+f%C3%BCr+Diebe&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests; unmatched_source_alias; demoted_weak_alias_match,55
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,pulleralarm,Pulleralarm,vollversion-fullversion,high,full_version,vollversion-fullversion,pulleralarm,Pulleralarm,pulleralarm,Pulleralarm,pulleralarm,1,game,full_version_game,full_version,full_version_game,,high,unmatched,low,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Pulleralarm&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests; unmatched_source_alias; demoted_weak_alias_match,55
cbs-2000-09,2001/CBS012001.7z,CBS012001,2001,CD,vampirjagd,Vampirjagd,vollversion-fullversion,high,full_version,vollversion-fullversion,vampirjagd,Vampirjagd,vampirjagd,Vampirjagd,vampirjagd,1,game,full_version_game,full_version,full_version_game,,high,unmatched,low,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Vampirjagd&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests; unmatched_source_alias; demoted_weak_alias_match,55
cbs-2000-09,2002/CBS012002.7z,CBS012002,2002,CD,dark project der meisterdieb,Dark Project: Der Meisterdieb,vollversion-fullversion,high,full_version,vollversion-fullversion,darkprojectdermeisterdieb,Dark Project Der Meisterdieb,dark project der meisterdieb,Dark Project Der Meisterdieb,dark project der meisterdieb,1,game,full_version_game,full_version,full_version_game,display_title_backfilled_from_canonical,high,matched,high,Dark Project: Der Meisterdieb,dark-project-der-meisterdieb,game,1998,https://de.wikipedia.org/wiki/Dark_Project%3A_Der_Meisterdieb,Q931737,https://www.wikidata.org/wiki/Q931737,action; adventure; shooter,action-adventure game; first-person shooter; stealth game,,retained_best_alias_match,,95
cbs-2000-09,2003/CBS012003.7z,CBS012003,2003,CD,pizza connection 2,Pizza Connection 2,vollversion-fullversion,high,full_version,vollversion-fullversion,pizzaconnection2,Pizza Connection 2,pizza connection 2,Pizza Connection 2,pizza connection 2,1,game,full_version_game,full_version,full_version_game,,high,unmatched,low,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; request failed for https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Pizza+Connection+2&language=en&type=item&limit=7&format=json: HTTP Error 429: Too Many Requests; unmatched_source_alias; demoted_weak_alias_match,55
cbs-2000-09,2004/CBS012004.7z,CBS012004,2004,CD,cossacks european wars,Cossacks: European Wars,vollversion-fullversion,high,full_version,vollversion-fullversion,cossackseuropeanwars,Cossacks European Wars,cossacks european wars,Cossacks European Wars,cossacks european wars,1,game,full_version_game,full_version,full_version_game,display_title_backfilled_from_canonical,high,matched,high,Cossacks: European Wars,cossacks-european-wars,game,2001,https://en.wikipedia.org/wiki/Cossacks%3A_European_Wars,Q28418,https://www.wikidata.org/wiki/Q28418,strategy,real-time strategy,,retained_best_alias_match,,92
cbs-2000-09,2005/CBS012005DVD.7z,CBS012005DVD,2005,DVD,alternate flip,Alternate Flip,disc-metadata-value,high,unknown,multiword,alternateflip,Alternate Flip,alternate flip,Alternate Flip,alternate flip,1,game,game_title,unknown,game_title,,high,unmatched,low,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; unmatched_source_alias; demoted_weak_alias_match,55
cbs-2000-09,2005/CBS012005DVD.7z,CBS012005DVD,2005,DVD,antira mexiko,"Antira, Mexiko",disc-metadata-value,high,unknown,multiword,antiramexiko,"Antira, Mexiko",antira mexiko,"Antira, Mexiko",antira mexiko,1,game,game_title,unknown,game_title,,high,unmatched,low,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; unmatched_source_alias; demoted_weak_alias_match,55
cbs-2000-09,2005/CBS012005DVD.7z,CBS012005DVD,2005,DVD,arena wars,Arena Wars,disc-metadata-value,high,unknown,multiword,arenawars,Arena Wars v 1 1,arena wars v 1 1,Arena Wars v 1 1,arena wars v 1 1,1,game,game_title,unknown,game_title,stripped_version_suffix,high,ambiguous,low,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; ambiguous_source_alias; demoted_weak_alias_match,60
