normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds,game_id,first_seen_year,last_seen_issue,last_seen_year,alias_count,alias_titles,legacy_normalized_titles,observed_content_kinds,observed_content_forms,content_class,cleanup_flags,merge_confidence,match_status,match_confidence,canonical_title,canonical_slug,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,rating_value,rating_scale,rating_count,rating_source,rating_url,metadata_sources,match_action,match_notes,data_quality_score
007 ein quantum trost,007 Ein Quantum Trost,CBS022009DVDGold,1,1,high,disc-metadata-value,007einquantumtrost,2009,CBS022009DVDGold,2009,1,007 Ein Quantum Trost,007 ein quantum trost,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
187 ride or die,187 Ride or Die,CBS082005DVD,1,1,high,disc-metadata-value,187rideordie,2005,CBS082005DVD,2005,1,187 Ride or Die,187 ride or die,unknown,game_title,game,,high,matched,high,187 Ride or Die,187-ride-or-die,game,2005,https://en.wikipedia.org/wiki/187_Ride_or_Die,Q2506605,https://www.wikidata.org/wiki/Q2506605,racing,racing video game,,,,,,,wikidata,retained_best_alias_match,,92
18 wheels of steel haulin,18 Wheels of Steel Haulin,CBS042008DVD,1,2,high,disc-metadata-value,18wheelsofsteelhaulin,2008,CBS042008DVD,2008,1,18 Wheels of Steel Haulin,18 wheels of steel haulin,unknown,game_title,game,manual_token_repair,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
1944 winterschlacht in den ardennen,1944 Winterschlacht in den Ardennen,CBS072005DVD,1,1,high,disc-metadata-value,1944winterschlachtindenardennen,2005,CBS072005DVD,2005,1,1944 Winterschlacht in den Ardennen,1944 winterschlacht in den ardennen,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
2 ritter auf der suche nach der hinreissenden herzelinde,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,CBS032009DVDGold,1,1,high,disc-metadata-value,2ritteraufdersuchenachderhinreissendenherzelinde,2009,CBS032009DVDGold,2009,1,2 Ritter - Auf der Suche nach der hinreißenden Herzelinde,2 ritter auf der suche nach der hinrei enden herzelinde,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
442 fussball manager,442 Fussball Manager,CBS112005DVD,1,1,high,disc-metadata-value,442fussballmanager,2005,CBS112005DVD,2005,1,442 Fussball Manager,442 fussball manager,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
4 story,4 Story,CBS072009DVD,1,1,high,disc-metadata-value,4story,2009,CBS072009DVD,2009,1,4 Story,4 story,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
64 bit vier,64 Bit)vier,CBS092007DVD,1,1,high,disc-metadata-value,64bitvier,2007,CBS092007DVD,2007,1,64 Bit)vier,64 bit vier,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
abdurchdie hecke,Abdurchdie Hecke,CBS082006DVD,1,1,high,disc-metadata-value,abdurchdiehecke,2006,CBS082006DVD,2006,1,Abdurchdie Hecke,abdurchdie hecke,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
abenteuer auf dem reiterhof das abenteuer rund ums pferd,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,CBS112007DVD,1,2,high,disc-metadata-value,abenteueraufdemreiterhofdasabenteuerrundumspferd,2007,CBS112007DVD,2007,1,Abenteuer auf dem Reiterhof Das Abenteuer rund ums Pferd,abenteuer auf dem reiterhof das abenteuer rund ums pferd,unknown,game_title,game,split_compound_token,medium,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,46
ablaze,Ablaze,CBS082007DVDBonus,1,1,high,disc-metadata-value,ablaze,2007,CBS082007DVDBonus,2007,1,Ablaze,ablaze,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
absolute blue,Absolute Blue,CBS082005DVD,1,1,high,disc-metadata-value,absoluteblue,2005,CBS082005DVD,2005,1,Absolute Blue,absolute blue,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,demoted_raw_qid_title; demoted_release_year_conflict; wikidata_only_match; demoted_weak_alias_match,35
achtung roboter,Achtung Roboter,CBS082005DVD,1,1,high,disc-metadata-value,achtungroboter,2005,CBS082005DVD,2005,1,Achtung Roboter,achtung roboter,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
act of war direct action,Act of War: Direct Action,CBS032005DVD,2,2,high,disc-metadata-value,actofwardirectaction,2005,CBS052005DVD,2005,1,Act of War Direct Action,act of war direct action,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Act of War: Direct Action,act-of-war-direct-action,game,2005,https://en.wikipedia.org/wiki/Act_of_War%3A_Direct_Action,Q343120,https://www.wikidata.org/wiki/Q343120,strategy,real-time strategy,,,,,,,wikidata,retained_best_alias_match,,92
act of war high treason,Act of War: High Treason,CBS042006DVD,1,1,high,disc-metadata-value,actofwarhightreason,2006,CBS042006DVD,2006,1,Act of War High Treason,act of war high treason,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Act of War: High Treason,act-of-war-high-treason,expansion,2006,https://en.wikipedia.org/wiki/Act_of_War%3A_High_Treason,Q609537,https://www.wikidata.org/wiki/Q609537,strategy,real-time strategy,,73/100,,,Kritikanstvo,https://www.wikidata.org/wiki/Q117190337,wikidata,retained_best_alias_match,,95
actua soccer 2,Actua Soccer 2,CBS092000,1,1,high,vollversion-fullversion,actuasoccer2,2000,CBS092000,2000,1,Actua Soccer 2,actua soccer 2,full_version,full_version_game,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
actua soccer featuring oliver bierhoff,Actua Soccer Featuring Oliver Bierhoff,CBS062006DVD,1,1,high,disc-metadata-value,actuasoccerfeaturingoliverbierhoff,2006,CBS062006DVD,2006,1,Actua Soccer Featuring Oliver Bierhoff,actua soccer featuring oliver bierhoff,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
