normalized_title,representative_title,match_status,match_confidence,failure_reason,candidate_1_title,candidate_1_url,candidate_2_title,candidate_2_url,candidate_3_title,candidate_3_url
iron man,Iron Man,ambiguous,low,multiple plausible Wikimedia entities,Ironman Triathlon,https://en.wikipedia.org/wiki/Ironman_Triathlon,Iron Man (Zagor),https://hr.wikipedia.org/wiki/Iron_Man_%28Zagor%29,Iron Man,https://en.wikipedia.org/wiki/Iron_Man
iron man v 1,Iron Man v 1,ambiguous,low,multiple plausible Wikimedia entities,Ironman Triathlon,https://en.wikipedia.org/wiki/Ironman_Triathlon,Iron Man (Zagor),https://hr.wikipedia.org/wiki/Iron_Man_%28Zagor%29,Iron Man,https://en.wikipedia.org/wiki/Iron_Man
iron manv11,Iron Manv11,unmatched,low,no confident Wikimedia match | search_variants=Iron Manv11,,,,,,
isabel werth reitsport,Isabel Werth Reitsport,unmatched,low,no confident Wikimedia match | search_variants=Isabel Werth Reitsport,,,,,,
isabel werth reitsport v 1,Isabel Werth Reitsport v 1,unmatched,low,no confident Wikimedia match | search_variants=Isabel Werth Reitsport v 1; Isabel Werth Reitsport,,,,,,
isabel werth reitsportv12,Isabel Werth Reitsportv12,unmatched,low,no confident Wikimedia match | search_variants=Isabel Werth Reitsportv12,,,,,,
isabell werth reitsport,Isabell Werth Reitsport,ambiguous,low,multiple plausible Wikipedia search results,Isabell Werth,https://en.wikipedia.org/wiki/Isabell_Werth,,,,
izberite jezik za pripravo,Izberite jezik za pripravo,unmatched,low,no confident Wikimedia match | search_variants=Izberite jezik za pripravo,,,,,,
jack keane,Jack Keane,ambiguous,low,multiple plausible Wikimedia entities,Q108371059,https://www.wikidata.org/wiki/Q108371059,Jack Keane (video game),https://en.wikipedia.org/wiki/Jack_Keane_%28video_game%29,Q106957903,https://www.wikidata.org/wiki/Q106957903
jack keane v 1 0,Jack Keane v 1 0,ambiguous,low,multiple plausible Wikimedia entities,Q108371059,https://www.wikidata.org/wiki/Q108371059,Jack Keane (video game),https://en.wikipedia.org/wiki/Jack_Keane_%28video_game%29,Q106957903,https://www.wikidata.org/wiki/Q106957903
jack keaneandthe dokktors island,Jack Keaneandthe Dokktors Island,unmatched,low,no confident Wikimedia match | search_variants=Jack Keaneandthe Dokktors Island,,,,,,
jack keanev101,Jack Keanev101,unmatched,low,no confident Wikimedia match | search_variants=Jack Keanev101,,,,,,
jacomo s brick mountain,Jacomo's Brick Mountain,unmatched,low,no confident Wikimedia match | search_variants=Jacomo's Brick Mountain,,,,,,
jacomo s castle,Jacomo's Castle,unmatched,low,no confident Wikimedia match | search_variants=Jacomo's Castle,,,,,,
jacomos brick mountain,Jacomos Brick Mountain,unmatched,low,no confident Wikimedia match | search_variants=Jacomos Brick Mountain,,,,,,
jacomos castle,Jacomos Castle,unmatched,low,no confident Wikimedia match | search_variants=Jacomos Castle,,,,,,
